NEW SOUTH WALES,LGA,"Persons, 0-4 yearsNumber",Total persons,%,,"Persons, 5-9 yearsNumber",Total persons,%,,"Persons, 10-14 yearsNumber",Total persons,%,,"Persons, 15-19 yearsNumber",Total persons,%,,"Persons, 20-24 yearsNumber",Total persons,%,,"Persons, 25-29 yearsNumber",Total persons,%,,"Persons, 30-34 yearsNumber",Total persons,%,,"Persons, 35-39 yearsNumber",Total persons,%,,"Persons, 40-44 yearsNumber",Total persons,%,,"Persons, 45-49 yearsNumber",Total persons,%,,"Persons, 50-54 yearsNumber",Total persons,%,,"Persons, 55-59 yearsNumber",Total persons,%,,"Persons, 60-64 yearsNumber",Total persons,%,,"Persons, 65-69 yearsNumber",Total persons,%,,"Persons, 70-74 yearsNumber",Total persons,%,,"Persons, 75-79 yearsNumber",Total persons,%,,"Persons, 80-84 yearsNumber",Total persons,%,,"Persons, 85 years and overNumber",Total persons,%
13800,Hawkesbury (C),4370,67083,6.514318084,,4504,67083,6.714070629,,4473,67083,6.667859219,,4585,67083,6.834816571,,4788,67083,7.13742677,,4772,67083,7.11357572,,4118,67083,6.138664043,,4029,67083,6.005992576,,4037,67083,6.017918101,,5024,67083,7.48922976,,4655,67083,6.939164915,,4368,67083,6.511336702,,3641,67083,5.427604609,,3212,67083,4.788098326,,2633,67083,3.924988447,,1783,67083,2.657901406,,1124,67083,1.675536276,,967,67083,1.441497846
13850,Hay (A),172,2979,5.77374958,,176,2979,5.908022826,,212,2979,7.116482041,,164,2979,5.505203088,,163,2979,5.471634777,,161,2979,5.404498154,,152,2979,5.10238335,,131,2979,4.397448808,,141,2979,4.733131923,,182,2979,6.109432696,,230,2979,7.720711648,,269,2979,9.029875797,,202,2979,6.780798926,,173,2979,5.807317892,,158,2979,5.303793219,,140,2979,4.699563612,,99,2979,3.32326284,,54,2979,1.812688822
13910,Hilltops (A),1180,18782,6.282611011,,1297,18782,6.905547865,,1284,18782,6.836332659,,1215,18782,6.468959642,,901,18782,4.797146204,,909,18782,4.839740177,,816,18782,4.344585241,,986,18782,5.249707166,,1019,18782,5.425407305,,1147,18782,6.106910872,,1196,18782,6.367798956,,1319,18782,7.022681291,,1243,18782,6.618038548,,1336,18782,7.113193483,,1114,18782,5.931210734,,810,18782,4.312639761,,506,18782,2.694068789,,504,18782,2.683420296
14000,Hornsby (A),8792,150752,5.832095097,,10648,150752,7.063256209,,10120,150752,6.713012099,,10340,150752,6.858947145,,9634,150752,6.390628317,,7533,150752,4.996948631,,8390,150752,5.565431968,,10627,150752,7.049326045,,11263,150752,7.471210996,,11481,150752,7.615819359,,10016,150752,6.644024623,,9722,150752,6.449002335,,8239,150752,5.465267459,,6751,150752,4.478215878,,5992,150752,3.97473997,,4219,150752,2.798636171,,3187,150752,2.114068138,,3798,150752,2.519369561
14100,Hunters Hill (A),724,14909,4.856127172,,944,14909,6.331745925,,1160,14909,7.780535247,,1316,14909,8.826883091,,816,14909,5.473204105,,707,14909,4.742102086,,654,14909,4.386612113,,770,14909,5.164665638,,926,14909,6.211013482,,1136,14909,7.619558656,,985,14909,6.606747602,,904,14909,6.063451606,,788,14909,5.285398082,,804,14909,5.392715809,,726,14909,4.869541887,,520,14909,3.487826145,,351,14909,2.354282648,,678,14909,4.547588705
14170,Inner West (A),11470,198024,5.792227205,,10081,198024,5.090797075,,8319,198024,4.201005939,,7879,198024,3.978810649,,14689,198024,7.417787743,,21705,198024,10.96079263,,20497,198024,10.35076556,,17745,198024,8.961035026,,15139,198024,7.645032925,,14581,198024,7.363248899,,11957,198024,6.038156991,,11090,198024,5.600331273,,8837,198024,4.462590393,,7540,198024,3.807619278,,6051,198024,3.055690219,,3998,198024,2.018947198,,3130,198024,1.580616491,,3316,198024,1.6745445
14200,Inverell (A),1071,16844,6.358347186,,1198,16844,7.112324863,,1203,16844,7.142009024,,1140,16844,6.767988601,,895,16844,5.313464735,,941,16844,5.586559012,,900,16844,5.343148896,,786,16844,4.666350036,,914,16844,5.426264545,,1080,16844,6.411778675,,967,16844,5.740916647,,1194,16844,7.088577535,,1075,16844,6.382094514,,979,16844,5.812158632,,914,16844,5.426264545,,673,16844,3.995488008,,509,16844,3.021847542,,405,16844,2.404417003
14300,Junee (A),392,6631,5.911627206,,400,6631,6.032272659,,391,6631,5.896546524,,332,6631,5.006786307,,422,6631,6.364047655,,508,6631,7.660986277,,516,6631,7.78163173,,479,6631,7.223646509,,437,6631,6.59025788,,457,6631,6.891871513,,402,6631,6.062434022,,450,6631,6.786306741,,420,6631,6.333886292,,322,6631,4.85597949,,304,6631,4.584527221,,191,6631,2.880410195,,95,6631,1.432664756,,113,6631,1.704117026
14350,Kempsey (A),1708,29665,5.757626833,,1803,29665,6.077869543,,1765,29665,5.949772459,,1714,29665,5.777852688,,1366,29665,4.604753076,,1408,29665,4.746334064,,1493,29665,5.032867015,,1345,29665,4.533962582,,1492,29665,5.029496039,,1754,29665,5.912691724,,1951,29665,6.576773976,,2284,29665,7.69930895,,2482,29665,8.366762178,,2316,29665,7.807180179,,1898,29665,6.398112253,,1225,29665,4.129445474,,810,29665,2.730490477,,851,29665,2.868700489
14400,Kiama (A),1244,23006,5.407285056,,1340,23006,5.824567504,,1401,23006,6.089715726,,1332,23006,5.789793967,,1255,23006,5.45509867,,1002,23006,4.355385552,,1101,23006,4.785708076,,1168,23006,5.076936451,,1327,23006,5.768060506,,1441,23006,6.263583413,,1431,23006,6.220116491,,1664,23006,7.232895766,,1843,23006,8.010953664,,1660,23006,7.215508998,,1476,23006,6.415717639,,968,23006,4.207598018,,623,23006,2.70798922,,730,23006,3.173085282
14500,Ku-ring-gai (A),6415,126046,5.089411802,,9129,126046,7.242593974,,9788,126046,7.765418974,,10109,126046,8.020087904,,7686,126046,6.097773829,,5307,126046,4.210367644,,5308,126046,4.211161005,,7557,126046,5.99543024,,8643,126046,6.857020453,,10086,126046,8.001840598,,8973,126046,7.118829634,,8096,126046,6.423051902,,6387,126046,5.06719769,,5681,126046,4.507084715,,5291,126046,4.197673865,,4071,126046,3.229773257,,3228,126046,2.560969805,,4291,126046,3.404312711
14550,Kyogle (A),359,8870,4.04735062,,563,8870,6.34723788,,544,8870,6.133032694,,527,8870,5.941375423,,290,8870,3.269447576,,271,8870,3.05524239,,307,8870,3.461104848,,431,8870,4.859075536,,448,8870,5.050732807,,571,8870,6.437429538,,734,8870,8.275084555,,836,8870,9.425028185,,870,8870,9.808342728,,737,8870,8.308906426,,550,8870,6.200676437,,359,8870,4.04735062,,233,8870,2.626832018,,240,8870,2.705749718
14600,Lachlan (A),478,6151,7.771094131,,523,6151,8.502682491,,411,6151,6.681840351,,338,6151,5.495041457,,285,6151,4.633392944,,383,6151,6.226629816,,390,6151,6.34043245,,327,6151,5.316208747,,321,6151,5.218663632,,309,6151,5.023573403,,345,6151,5.60884409,,424,6151,6.893188099,,402,6151,6.535522679,,334,6151,5.43001138,,303,6151,4.926028288,,217,6151,3.527881645,,185,6151,3.007641034,,176,6151,2.861323362
14650,Lake Macquarie (C),12916,204914,6.303132046,,13150,204914,6.417326293,,12719,204914,6.206994154,,12564,204914,6.131352665,,11894,204914,5.80438623,,11084,204914,5.409098451,,12082,204914,5.896132036,,12056,204914,5.883443786,,12154,204914,5.931268727,,13657,204914,6.664747162,,12710,204914,6.202602067,,13616,204914,6.644738768,,12711,204914,6.203090077,,12023,204914,5.867339469,,10965,204914,5.351025308,,7475,204914,3.64787179,,5451,204914,2.660140352,,5687,204914,2.775310618
14700,Lane Cove (A),2761,39486,6.99235172,,2419,39486,6.126221952,,2171,39486,5.498151243,,2156,39486,5.460163096,,2128,39486,5.389251887,,3215,39486,8.142126323,,3973,39486,10.06179405,,3557,39486,9.008256091,,2949,39486,7.468469837,,2664,39486,6.746695031,,2275,39486,5.761535734,,2074,39486,5.252494555,,1852,39486,4.690269969,,1469,39486,3.720305931,,1391,39486,3.522767563,,927,39486,2.347667528,,632,39486,1.60056729,,873,39486,2.210910196
14750,Leeton (A),764,11438,6.679489421,,768,11438,6.71446057,,899,11438,7.859765693,,1011,11438,8.83895786,,598,11438,5.228186746,,693,11438,6.05875153,,629,11438,5.499213149,,540,11438,4.721105088,,633,11438,5.534184298,,732,11438,6.399720231,,684,11438,5.980066445,,830,11438,7.256513376,,657,11438,5.744011191,,545,11438,4.764819024,,515,11438,4.502535408,,399,11438,3.488372093,,286,11438,2.500437139,,255,11438,2.229410736
14850,Lismore (C),2309,43843,5.266519171,,2699,43843,6.156056839,,2946,43843,6.719430696,,2812,43843,6.413794676,,2552,43843,5.820769564,,2252,43843,5.136509819,,2221,43843,5.065802979,,2514,43843,5.734096663,,2614,43843,5.962183245,,2945,43843,6.71714983,,3047,43843,6.949798143,,3478,43843,7.93285131,,3260,43843,7.435622562,,2781,43843,6.343087836,,1942,43843,4.429441416,,1414,43843,3.225144265,,965,43843,2.201035513,,1092,43843,2.490705472
14870,Lithgow (C),1204,21636,5.564799408,,1263,21636,5.837493067,,1281,21636,5.920687743,,1244,21636,5.749676465,,1137,21636,5.255130338,,1178,21636,5.444629322,,1170,21636,5.40765391,,1072,21636,4.954705121,,1224,21636,5.657237937,,1416,21636,6.544647809,,1425,21636,6.586245147,,1667,21636,7.70475134,,1487,21636,6.872804585,,1502,21636,6.942133481,,1316,21636,6.082455167,,905,21636,4.182843409,,557,21636,2.574413015,,588,21636,2.717692734
14900,Liverpool (C),17541,223304,7.855210834,,16883,223304,7.560545266,,16273,223304,7.287375058,,15820,223304,7.084512593,,16366,223304,7.329022319,,16691,223304,7.474563823,,17148,223304,7.679217569,,16738,223304,7.495611364,,15049,223304,6.739243363,,14969,223304,6.703417762,,13389,223304,5.995862143,,12655,223304,5.667162254,,10148,223304,4.544477484,,8030,223304,3.595994698,,6107,223304,2.734836814,,4240,223304,1.898756852,,2844,223304,1.273600115,,2413,223304,1.080589689
14920,Liverpool Plains (A),477,7893,6.043329532,,534,7893,6.765488407,,508,7893,6.436082605,,488,7893,6.182693526,,313,7893,3.965539085,,342,7893,4.33295325,,430,7893,5.447865197,,387,7893,4.903078677,,417,7893,5.283162296,,525,7893,6.651463322,,481,7893,6.094007348,,597,7893,7.563664006,,624,7893,7.905739263,,524,7893,6.638793868,,487,7893,6.170024072,,343,7893,4.345622704,,245,7893,3.104016217,,171,7893,2.166476625
14950,Lockhart (A),248,3295,7.526555387,,247,3295,7.496206373,,218,3295,6.616084977,,203,3295,6.160849772,,132,3295,4.006069803,,143,3295,4.339908953,,152,3295,4.613050076,,161,3295,4.886191199,,158,3295,4.795144158,,197,3295,5.97875569,,213,3295,6.464339909,,273,3295,8.285280728,,236,3295,7.162367223,,223,3295,6.767830046,,165,3295,5.007587253,,123,3295,3.73292868,,92,3295,2.792109256,,111,3295,3.368740516
15050,Maitland (C),6119,83203,7.354302129,,6408,83203,7.701645373,,5857,83203,7.039409637,,5211,83203,6.262995325,,5208,83203,6.259389685,,6201,83203,7.452856267,,5972,83203,7.177625807,,5327,83203,6.402413375,,5279,83203,6.344723147,,5606,83203,6.737737822,,4860,83203,5.841135536,,4960,83203,5.96132351,,4337,83203,5.212552432,,3824,83203,4.595988125,,3238,83203,3.891686598,,2077,83203,2.49630422,,1360,83203,1.634556446,,1359,83203,1.633354567
15240,Mid-Coast (A),4365,93288,4.6790584,,5038,93288,5.400480233,,5310,93288,5.692050424,,5019,93288,5.380113198,,3589,93288,3.847225795,,3534,93288,3.788268588,,3703,93288,3.969428008,,3844,93288,4.12057285,,4427,93288,4.745519252,,5423,93288,5.813180688,,5751,93288,6.164780036,,7152,93288,7.666580911,,7805,93288,8.36656376,,8229,93288,8.821070234,,7764,93288,8.322613841,,5356,93288,5.741360089,,3462,93288,3.711088243,,3517,93288,3.770045451
15270,Mid-Western Regional (A),1749,25086,6.972016264,,1808,25086,7.207207207,,1690,25086,6.736825321,,1422,25086,5.668500359,,1187,25086,4.731722873,,1330,25086,5.301761939,,1490,25086,5.939567886,,1440,25086,5.740253528,,1427,25086,5.688431795,,1676,25086,6.6810173,,1652,25086,6.585346408,,1823,25086,7.267001515,,1574,25086,6.274416009,,1430,25086,5.700390656,,1325,25086,5.281830503,,967,25086,3.854739695,,586,25086,2.335964283,,510,25086,2.033006458
15300,Moree Plains (A),1065,13350,7.97752809,,1074,13350,8.04494382,,927,13350,6.943820225,,751,13350,5.625468165,,801,13350,6,,900,13350,6.741573034,,870,13350,6.516853933,,769,13350,5.760299625,,765,13350,5.730337079,,869,13350,6.509363296,,922,13350,6.906367041,,920,13350,6.891385768,,717,13350,5.370786517,,663,13350,4.966292135,,544,13350,4.074906367,,379,13350,2.838951311,,227,13350,1.700374532,,187,13350,1.400749064
15350,Mosman (A),1595,30877,5.165657285,,1868,30877,6.049810539,,1927,30877,6.240891278,,1758,30877,5.693558312,,1485,30877,4.809405059,,1653,30877,5.353499368,,2037,30877,6.597143505,,2160,30877,6.995498267,,2143,30877,6.940441105,,2324,30877,7.526637951,,2238,30877,7.248113483,,2063,30877,6.681348577,,1615,30877,5.230430417,,1591,30877,5.152702659,,1644,30877,5.324351459,,1079,30877,3.494510477,,728,30877,2.357742009,,969,30877,3.13825825
15520,Murray River (A),668,12118,5.512460802,,792,12118,6.535731969,,732,12118,6.040600759,,662,12118,5.462947681,,473,12118,3.90328437,,482,12118,3.977554052,,558,12118,4.604720251,,619,12118,5.108103647,,644,12118,5.314408318,,728,12118,6.007592012,,750,12118,6.189140122,,933,12118,7.699290312,,914,12118,7.542498762,,884,12118,7.294933157,,913,12118,7.534246575,,614,12118,5.066842713,,383,12118,3.160587556,,369,12118,3.04505694
15560,Murrumbidgee (A),244,3961,6.160060591,,285,3961,7.195152739,,311,3961,7.851552638,,267,3961,6.74072204,,247,3961,6.235799041,,231,3961,5.831860641,,204,3961,5.150214592,,197,3961,4.973491543,,215,3961,5.427922242,,251,3961,6.33678364,,258,3961,6.51350669,,309,3961,7.801060338,,239,3961,6.033829841,,218,3961,5.503660692,,186,3961,4.695783893,,130,3961,3.281999495,,95,3961,2.398384246,,74,3961,1.868215097
15650,Muswellbrook (A),1267,16383,7.73362632,,1250,16383,7.629860221,,1220,16383,7.446743576,,1039,16383,6.341939816,,966,16383,5.896355979,,1113,16383,6.793627541,,1176,16383,7.178172496,,1091,16383,6.659342001,,997,16383,6.085576512,,1139,16383,6.952328633,,1104,16383,6.738692547,,1020,16383,6.22596594,,858,16383,5.237136056,,714,16383,4.358176158,,576,16383,3.51583959,,396,16383,2.417139718,,253,16383,1.544283709,,204,16383,1.245193188
15700,Nambucca (A),1039,19773,5.254640166,,1093,19773,5.527739847,,1222,19773,6.180144642,,1114,19773,5.633945279,,736,19773,3.722247509,,809,19773,4.091437819,,767,19773,3.879026956,,802,19773,4.056036009,,913,19773,4.617407576,,1146,19773,5.795782127,,1256,19773,6.352096293,,1736,19773,8.779649016,,1672,19773,8.45597532,,1664,19773,8.415516108,,1492,19773,7.545643049,,953,19773,4.819703636,,662,19773,3.347999798,,697,19773,3.52500885
15750,Narrabri (A),970,13231,7.331267478,,1072,13231,8.102184264,,946,13231,7.149875293,,762,13231,5.759201874,,663,13231,5.010959111,,751,13231,5.67606379,,810,13231,6.121986244,,721,13231,5.449323558,,739,13231,5.585367697,,790,13231,5.97082609,,850,13231,6.424306553,,1032,13231,7.799863956,,802,13231,6.061522183,,726,13231,5.487113597,,600,13231,4.534804626,,459,13231,3.469125539,,300,13231,2.267402313,,238,13231,1.798805835
15800,Narrandera (A),415,5931,6.997133704,,438,5931,7.384926657,,397,5931,6.693643568,,299,5931,5.04130838,,299,5931,5.04130838,,307,5931,5.176192885,,289,5931,4.872702748,,295,5931,4.973866127,,341,5931,5.749452032,,341,5931,5.749452032,,347,5931,5.850615411,,499,5931,8.413421008,,408,5931,6.879109762,,366,5931,6.17096611,,316,5931,5.327937953,,231,5931,3.894790086,,159,5931,2.68082954,,184,5931,3.102343618
15850,Narromine (A),485,6567,7.385411908,,497,6567,7.568143749,,481,6567,7.324501294,,397,6567,6.045378407,,321,6567,4.888076747,,316,6567,4.81193848,,379,6567,5.771280646,,360,6567,5.481955231,,321,6567,4.888076747,,396,6567,6.030150754,,357,6567,5.43627227,,473,6567,7.202680067,,449,6567,6.837216385,,387,6567,5.893101873,,334,6567,5.086036242,,243,6567,3.700319781,,196,6567,2.98462007,,175,6567,2.664839348
15900,Newcastle (C),9641,164104,5.874932969,,9735,164104,5.932213718,,8763,164104,5.339906401,,9435,164104,5.749402818,,15064,164104,9.179544679,,14291,164104,8.708501926,,12218,164104,7.445278604,,10827,164104,6.597645396,,9937,164104,6.055306391,,10685,164104,6.511114903,,9608,164104,5.85482377,,10040,164104,6.118071467,,8897,164104,5.421561936,,7280,164104,4.436211183,,6124,164104,3.731779847,,4334,164104,2.641008141,,3292,164104,2.006044947,,3933,164104,2.396650904
15950,North Sydney (A),4350,74172,5.864746805,,2982,74172,4.020385051,,2356,74172,3.176400798,,2143,74172,2.889230437,,3659,74172,4.933128404,,8315,74172,11.21042981,,9525,74172,12.84177318,,7653,74172,10.31790972,,5619,74172,7.575635011,,4783,74172,6.44852505,,4133,74172,5.572183573,,4081,74172,5.502076255,,3736,74172,5.036941164,,3442,74172,4.640565173,,2963,74172,3.994768915,,1993,74172,2.686997789,,1170,74172,1.577414658,,1269,74172,1.710888206
15990,Northern Beaches (A),16507,271278,6.084901835,,18367,271278,6.770545345,,17823,271278,6.570013049,,16041,271278,5.913122332,,14834,271278,5.468191302,,15729,271278,5.798111163,,17426,271278,6.423668709,,19132,271278,7.052543885,,20245,271278,7.462824114,,21160,271278,7.800116486,,18385,271278,6.777180604,,16687,271278,6.151254433,,13995,271278,5.158914472,,12291,271278,4.530776547,,11483,271278,4.232927108,,8321,271278,3.067333142,,5851,271278,2.156828051,,7001,271278,2.580747425
16100,Oberon (A),312,5408,5.769230769,,306,5408,5.658284024,,320,5408,5.917159763,,364,5408,6.730769231,,335,5408,6.194526627,,286,5408,5.288461538,,257,5408,4.752218935,,256,5408,4.733727811,,258,5408,4.770710059,,379,5408,7.008136095,,412,5408,7.618343195,,371,5408,6.860207101,,362,5408,6.693786982,,415,5408,7.673816568,,355,5408,6.564349112,,202,5408,3.735207101,,124,5408,2.292899408,,94,5408,1.73816568
16150,Orange (C),3220,42056,7.656458056,,3075,42056,7.311679665,,2818,42056,6.70058969,,2673,42056,6.355811299,,2513,42056,5.975366178,,2932,42056,6.971656839,,2963,42056,7.045368081,,2667,42056,6.341544607,,2565,42056,6.099010843,,2615,42056,6.217899943,,2416,42056,5.744721324,,2455,42056,5.837454822,,2198,42056,5.226364847,,2033,42056,4.834030816,,1759,42056,4.182518547,,1240,42056,2.948449686,,979,42056,2.327848583,,935,42056,2.223226175
16200,Parkes (A),967,14894,6.492547334,,1087,14894,7.298240902,,1033,14894,6.935678797,,999,14894,6.707398953,,884,14894,5.93527595,,812,14894,5.451859809,,837,14894,5.619712636,,807,14894,5.418289244,,771,14894,5.176581174,,891,14894,5.982274742,,906,14894,6.082986437,,1013,14894,6.801396536,,1011,14894,6.787968309,,852,14894,5.720424332,,684,14894,4.592453337,,516,14894,3.464482342,,401,14894,2.692359339,,423,14894,2.840069827
16260,Parramatta (C),18437,251311,7.336328294,,16215,251311,6.452164848,,12370,251311,4.922188046,,12025,251311,4.784907943,,16740,251311,6.661069352,,23846,251311,9.488641564,,27731,251311,11.0345349,,24173,251311,9.618759227,,17273,251311,6.873157164,,14968,251311,5.95596691,,13119,251311,5.220225139,,12910,251311,5.137061251,,11264,251311,4.482095889,,9069,251311,3.608676103,,7620,251311,3.032099669,,5386,251311,2.143161262,,3935,251311,1.565789002,,4230,251311,1.683173438
16350,Penrith (C),15918,209210,7.608622915,,15214,209210,7.272118924,,13749,209210,6.57186559,,13275,209210,6.345298982,,15266,209210,7.296974332,,17122,209210,8.184121218,,16858,209210,8.057932221,,15475,209210,7.396873954,,13759,209210,6.576645476,,13592,209210,6.496821376,,11926,209210,5.700492328,,12056,209210,5.762630849,,10581,209210,5.057597629,,8885,209210,4.246928923,,6652,209210,3.179580326,,4065,209210,1.943023756,,2528,209210,1.208355241,,2289,209210,1.09411596
16380,Port Macquarie-Hastings (A),3935,83131,4.733492921,,5082,83131,6.113242954,,5190,83131,6.243158389,,4728,83131,5.687409029,,3350,83131,4.029784316,,3764,83131,4.527793483,,3697,83131,4.447197796,,4078,83131,4.90551058,,4365,83131,5.250748818,,5287,83131,6.359841696,,4958,83131,5.964080788,,5915,83131,7.11527589,,5869,83131,7.059941538,,6152,83131,7.400368094,,6043,83131,7.269249738,,4441,83131,5.342170791,,3027,83131,3.641240933,,3250,83131,3.909492247
16400,Port Stephens (A),4001,72695,5.503817319,,4535,72695,6.238393287,,4649,72695,6.395212876,,4250,72695,5.846344315,,3727,72695,5.126900062,,3567,72695,4.906802394,,3692,72695,5.078753697,,3777,72695,5.195680583,,4093,72695,5.630373478,,4673,72695,6.428227526,,4661,72695,6.411720201,,5182,72695,7.128413233,,4932,72695,6.784510627,,5069,72695,6.972969255,,4848,72695,6.668959351,,3234,72695,4.448724121,,2004,72695,2.756723296,,1801,72695,2.477474379
16490,Queanbeyan-Palerang Regional (A),4199,59959,7.003118798,,3993,59959,6.659550693,,3831,59959,6.389366067,,3641,59959,6.072482863,,3475,59959,5.795627012,,4120,59959,6.871362097,,4348,59959,7.251621942,,4072,59959,6.791307393,,4225,59959,7.046481763,,4725,59959,7.88038493,,4539,59959,7.570172952,,4108,59959,6.851348421,,3335,59959,5.562134125,,2658,59959,4.433029237,,1964,59959,3.275571641,,1308,59959,2.181490685,,786,59959,1.310895779,,632,59959,1.054053603
16550,Randwick (C),8214,154265,5.324603766,,7572,154265,4.908436781,,6667,154265,4.321783943,,8710,154265,5.646128415,,17919,154265,11.61572619,,17196,154265,11.14705215,,13699,154265,8.880173727,,12157,154265,7.88059508,,9920,154265,6.430492983,,9472,154265,6.140083622,,8245,154265,5.344699057,,7630,154265,4.946034421,,6561,154265,4.253071014,,5696,154265,3.692347584,,5075,154265,3.289793537,,3668,154265,2.377726639,,2731,154265,1.770330276,,3133,154265,2.030920818
16610,Richmond Valley (A),1478,23399,6.316509253,,1570,23399,6.709688448,,1525,23399,6.517372537,,1536,23399,6.564383093,,1227,23399,5.243813838,,1099,23399,4.696781914,,1066,23399,4.555750246,,1067,23399,4.560023933,,1245,23399,5.320740203,,1459,23399,6.235309201,,1480,23399,6.325056626,,1692,23399,7.231078251,,1633,23399,6.978930724,,1598,23399,6.829351682,,1381,23399,5.901961622,,968,23399,4.136928929,,711,23399,3.038591393,,664,23399,2.837728108
16650,Rockdale (C),7547.779425,121462.4105,6.214086639,,6241.057922,121462.4105,5.138262854,,5483.911721,121462.4105,4.514904403,,6050.900689,121462.4105,4.981706408,,9747.473724,121462.4105,8.025094909,,13024.02913,121462.4105,10.72268291,,12656.94905,121462.4105,10.42046588,,9873.548666,121462.4105,8.128892406,,7873.763254,121462.4105,6.482469119,,7522.703746,121462.4105,6.193441833,,6503.656007,121462.4105,5.354459852,,6287.726547,121462.4105,5.176685132,,5465.104962,121462.4105,4.499420798,,4869.557582,121462.4105,4.009106653,,4087.335702,121462.4105,3.365103396,,3094.060189,121462.4105,2.547339687,,2465.07857,121462.4105,2.029499134,,2667.773643,121462.4105,2.196377983
16700,Ryde (C),7705,127446,6.045697786,,7098,127446,5.569417636,,5940,127446,4.660797514,,6391,127446,5.014672881,,11141,127446,8.7417416,,12440,127446,9.760996814,,12090,127446,9.486370698,,10680,127446,8.380019773,,8386,127446,6.580041743,,7622,127446,5.980572164,,7162,127446,5.619634983,,6748,127446,5.29479152,,6174,127446,4.844404689,,5149,127446,4.040142492,,4038,127446,3.168400734,,3051,127446,2.393955087,,2483,127446,1.948276133,,3148,127446,2.470065753
16900,Shellharbour (C),4673,72240,6.468715393,,4970,72240,6.879844961,,4868,72240,6.738648948,,4878,72240,6.752491694,,4672,72240,6.467331118,,4348,72240,6.018826135,,4629,72240,6.407807309,,4407,72240,6.100498339,,4422,72240,6.121262458,,4910,72240,6.796788483,,4470,72240,6.187707641,,4826,72240,6.680509413,,4130,72240,5.717054264,,3658,72240,5.063676633,,3169,72240,4.386766334,,2270,72240,3.142303433,,1502,72240,2.079180509,,1438,72240,1.990586932
16950,Shoalhaven (C),5669,104371,5.431585402,,6057,104371,5.803336176,,6041,104371,5.788006247,,5573,104371,5.339605829,,5028,104371,4.817430129,,5150,104371,4.934320836,,5089,104371,4.875875483,,5182,104371,4.964980694,,5379,104371,5.153730442,,6102,104371,5.846451601,,6150,104371,5.892441387,,7633,104371,7.313334164,,7970,104371,7.636220789,,8148,104371,7.806766247,,7474,104371,7.160992996,,5028,104371,4.817430129,,3478,104371,3.332343275,,3220,104371,3.085148173
17000,Singleton (A),1622,23422,6.925113141,,1756,23422,7.497224831,,1703,23422,7.27094185,,1583,23422,6.758603023,,1322,23422,5.644266075,,1500,23422,6.404235334,,1578,23422,6.737255572,,1463,23422,6.246264196,,1521,23422,6.493894629,,1691,23422,7.219707967,,1627,23422,6.946460593,,1596,23422,6.814106396,,1326,23422,5.661344036,,1075,23422,4.58970199,,845,23422,3.607719238,,536,23422,2.288446759,,337,23422,1.438818205,,341,23422,1.455896166
17040,Snowy Monaro Regional (A),1034,20733,4.987218444,,1197,20733,5.773404717,,1398,20733,6.74287368,,1145,20733,5.522596826,,1125,20733,5.426132253,,1236,20733,5.961510635,,1254,20733,6.048328751,,1116,20733,5.382723195,,1295,20733,6.246081127,,1555,20733,7.500120581,,1432,20733,6.906863454,,1592,20733,7.678580041,,1379,20733,6.651232335,,1284,20733,6.193025611,,1051,20733,5.069213331,,727,20733,3.506487243,,478,20733,2.305503304,,435,20733,2.098104471
17080,Snowy Valleys (A),885,14532,6.090008258,,985,14532,6.778144784,,937,14532,6.447839251,,783,14532,5.388109001,,602,14532,4.142581888,,728,14532,5.009633911,,800,14532,5.50509221,,799,14532,5.498210845,,836,14532,5.75282136,,910,14532,6.262042389,,906,14532,6.234516928,,1065,14532,7.328654005,,1089,14532,7.493806771,,998,14532,6.867602532,,851,14532,5.856041839,,600,14532,4.128819158,,381,14532,2.621800165,,377,14532,2.594274704
17100,Strathfield (A),2574,45143,5.70188069,,2227,45143,4.933212237,,2025,45143,4.485745298,,2434,45143,5.391755089,,4674,45143,10.3537647,,6034,45143,13.3664134,,4953,45143,10.97180072,,3403,45143,7.538267284,,2494,45143,5.524666061,,2385,45143,5.283211129,,2364,45143,5.236692289,,2252,45143,4.988591808,,1992,45143,4.412644264,,1533,45143,3.39587533,,1193,45143,2.642713156,,951,45143,2.106638903,,760,45143,1.683538976,,895,45143,1.982588663
17150,Sutherland Shire (A),14315,229213,6.245282772,,14955,229213,6.524499047,,14449,229213,6.303743679,,13852,229213,6.043287248,,14091,229213,6.147557076,,14295,229213,6.236557263,,14369,229213,6.268841645,,14897,229213,6.499195072,,15609,229213,6.809823178,,16615,229213,7.24871626,,14606,229213,6.372238922,,14986,229213,6.538023585,,13295,229213,5.800281834,,11280,229213,4.921186844,,9888,229213,4.313891446,,6723,229213,2.933079712,,4988,229213,2.176141842,,6000,229213,2.617652576
17200,Sydney (C),8836,240229,3.678157092,,4678,240229,1.94730861,,3410,240229,1.419478914,,8146,240229,3.390931153,,34840,240229,14.50282855,,45037,240229,18.7475284,,35720,240229,14.86914569,,22880,240229,9.524245616,,14915,240229,6.208659238,,12730,240229,5.299110432,,10537,240229,4.386231471,,9981,240229,4.154785642,,8433,240229,3.510400493,,6834,240229,2.8447856,,5469,240229,2.276577765,,3351,240229,1.394919015,,2252,240229,0.93743886,,2180,240229,0.907467458
