NEW SOUTH WALES,LGA,"Persons, 0-4 yearsNumber",Total persons,%,,"Persons, 5-9 yearsNumber",Total persons,%,,"Persons, 10-14 yearsNumber",Total persons,%,,"Persons, 15-19 yearsNumber",Total persons,%,,"Persons, 20-24 yearsNumber",Total persons,%,,"Persons, 25-29 yearsNumber",Total persons,%,,"Persons, 30-34 yearsNumber",Total persons,%,,"Persons, 35-39 yearsNumber",Total persons,%,,"Persons, 40-44 yearsNumber",Total persons,%,,"Persons, 45-49 yearsNumber",Total persons,%,,"Persons, 50-54 yearsNumber",Total persons,%,,"Persons, 55-59 yearsNumber",Total persons,%,,"Persons, 60-64 yearsNumber",Total persons,%,,"Persons, 65-69 yearsNumber",Total persons,%,,"Persons, 70-74 yearsNumber",Total persons,%,,"Persons, 75-79 yearsNumber",Total persons,%,,"Persons, 80-84 yearsNumber",Total persons,%,,"Persons, 85 years and overNumber",Total persons,%
10900,Blue Mountains (C),4385,79260,5.532424931,,5076,79260,6.404239213,,5194,79260,6.553116326,,5067,79260,6.392884179,,4154,79260,5.240979056,,3346,79260,4.221549331,,4052,79260,5.11228867,,4544,79260,5.733030532,,5155,79260,6.503911178,,5889,79260,7.42997729,,5169,79260,6.521574565,,5866,79260,7.40095887,,5616,79260,7.085541257,,5366,79260,6.770123644,,4453,79260,5.618218521,,2612,79260,3.29548322,,1720,79260,2.170073177,,1596,79260,2.013626041
10950,Bogan (A),199,2621,7.592521938,,184,2621,7.02022129,,152,2621,5.799313239,,133,2621,5.074399084,,171,2621,6.524227394,,206,2621,7.859595574,,134,2621,5.112552461,,107,2621,4.082411293,,155,2621,5.913773369,,202,2621,7.706982068,,169,2621,6.447920641,,186,2621,7.096528043,,125,2621,4.769172072,,126,2621,4.807325448,,132,2621,5.036245708,,115,2621,4.387638306,,71,2621,2.708889737,,54,2621,2.060282335
11100,Botany Bay (C),3288.220575,52915.58947,6.214086639,,2718.942078,52915.58947,5.138262854,,2389.088279,52915.58947,4.514904403,,2636.099311,52915.58947,4.981706408,,4246.526276,52915.58947,8.025094909,,5673.970867,52915.58947,10.72268291,,5514.050948,52915.58947,10.42046588,,4301.451334,52915.58947,8.128892406,,3430.236746,52915.58947,6.482469119,,3277.296254,52915.58947,6.193441833,,2833.343993,52915.58947,5.354459852,,2739.273453,52915.58947,5.176685132,,2380.895038,52915.58947,4.499420798,,2121.442418,52915.58947,4.009106653,,1780.664298,52915.58947,3.365103396,,1347.939811,52915.58947,2.547339687,,1073.92143,52915.58947,2.029499134,,1162.226357,52915.58947,2.196377983
11150,Bourke (A),224,2630,8.517110266,,226,2630,8.593155894,,191,2630,7.262357414,,139,2630,5.285171103,,126,2630,4.790874525,,191,2630,7.262357414,,180,2630,6.844106464,,144,2630,5.475285171,,135,2630,5.133079848,,210,2630,7.984790875,,202,2630,7.680608365,,167,2630,6.349809886,,158,2630,6.007604563,,115,2630,4.372623574,,76,2630,2.88973384,,66,2630,2.509505703,,35,2630,1.330798479,,45,2630,1.711026616
11200,Brewarrina (A),115,1655,6.948640483,,131,1655,7.915407855,,145,1655,8.761329305,,102,1655,6.163141994,,97,1655,5.86102719,,158,1655,9.546827795,,111,1655,6.70694864,,90,1655,5.438066465,,63,1655,3.806646526,,125,1655,7.552870091,,139,1655,8.398791541,,130,1655,7.854984894,,79,1655,4.773413897,,72,1655,4.350453172,,40,1655,2.416918429,,28,1655,1.6918429,,18,1655,1.087613293,,12,1655,0.725075529
11250,Broken Hill (C),1013,17734,5.712191271,,1036,17734,5.841885643,,985,17734,5.55430247,,946,17734,5.334385925,,958,17734,5.402052554,,1182,17734,6.665162964,,1084,17734,6.11255216,,931,17734,5.249802639,,845,17734,4.764858464,,1089,17734,6.140746588,,1172,17734,6.608774106,,1351,17734,7.618134657,,1197,17734,6.74974625,,1152,17734,6.495996391,,951,17734,5.362580354,,718,17734,4.048719973,,550,17734,3.101387166,,574,17734,3.236720424
11300,Burwood (A),1784,39886,4.47274733,,1718,39886,4.307275736,,1594,39886,3.996389711,,2136,39886,5.355262498,,4992,39886,12.51566966,,5431,39886,13.61630647,,3729,39886,9.349145063,,2540,39886,6.368149225,,2068,39886,5.184776613,,2223,39886,5.573384145,,2116,39886,5.305119591,,2092,39886,5.244948102,,1887,39886,4.730983302,,1443,39886,3.617810761,,1226,39886,3.073760217,,956,39886,2.396830968,,887,39886,2.223837938,,1064,39886,2.667602668
11350,Byron (A),1883,34574,5.446289119,,1962,34574,5.67478452,,2026,34574,5.859894719,,1755,34574,5.076068722,,1353,34574,3.913345288,,1943,34574,5.61982993,,2195,34574,6.348701336,,2227,34574,6.441256435,,2508,34574,7.2540059,,2691,34574,7.783305374,,2424,34574,7.011048765,,2706,34574,7.826690577,,2861,34574,8.275004339,,2306,34574,6.669751837,,1671,34574,4.833111587,,859,34574,2.484525944,,563,34574,1.628391277,,641,34574,1.853994331
11400,Cabonne (A),785,13680,5.738304094,,1023,13680,7.478070175,,1129,13680,8.252923977,,974,13680,7.119883041,,560,13680,4.093567251,,538,13680,3.932748538,,591,13680,4.320175439,,763,13680,5.57748538,,808,13680,5.906432749,,991,13680,7.244152047,,895,13680,6.542397661,,1030,13680,7.529239766,,845,13680,6.176900585,,826,13680,6.038011696,,759,13680,5.548245614,,509,13680,3.720760234,,328,13680,2.397660819,,326,13680,2.383040936
11450,Camden (A),8296,94159,8.81062883,,7753,94159,8.233944711,,6911,94159,7.339712614,,6397,94159,6.793827462,,6283,94159,6.672755658,,7210,94159,7.657260591,,8065,94159,8.565299122,,7315,94159,7.768774095,,6799,94159,7.220764876,,6251,94159,6.63877059,,5140,94159,5.458851517,,4642,94159,4.929958899,,3900,94159,4.141930139,,3231,94159,3.431429816,,2497,94159,2.651897323,,1511,94159,1.604732421,,1017,94159,1.080087936,,941,94159,0.9993734
